,course_title,url,price,num_subscribers,level,Rating,content_duration,published_timestamp
135,Ruby on Rails a Beginners Guide,https://www.udemy.com/ruby-on-rails-a-beginners-guide-free/,0.0,13130.0,Beginner Level,0.62,6.5,2016-03-18T14:58:53Z
136,Write quicker HTML5 and CSS 3; productivity hacks with emmet,https://www.udemy.com/write-quicker-html5-and-css-3-productivity-hacks-with-emmet/,0.0,13016.0,Intermediate Level,0.24,1.5,2016-03-03T17:45:31Z
137,ES6 Javascript: The Complete Developer's Guide,https://www.udemy.com/javascript-es6-tutorial/,80.0,13010.0,All Levels,0.41,6.5,2016-07-12T15:29:32Z
138,Create Startup Landing Page with Viral Marketing Strategies,https://www.udemy.com/create-startup-landing-page-with-viral-marketing-strategies/,0.0,12974.0,Beginner Level,0.15,1.0,2015-01-03T01:18:44Z
139,"Learn SVG Animation - With HTML, CSS & Javascript",https://www.udemy.com/learn-svg-animation/,65.0,12953.0,All Levels,0.15,1.5,2016-09-12T18:51:32Z
140,How to Make a Video Blog Website From Scratch w/ Wordpress,https://www.udemy.com/how-to-make-a-video-blog-website/,0.0,12952.0,All Levels,0.24,1.0,2015-10-21T23:31:22Z
141,Learn JavaScript for Web Development,https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/,75.0,12893.0,Beginner Level,0.1,8.5,2016-10-12T16:41:11Z
142,Create a Website from Scratch using HTML CSS step by step,https://www.udemy.com/create-a-website-from-scratch-using-html-css-in-1-hour/,75.0,12882.0,All Levels,0.74,1.5,2015-11-27T23:15:24Z
143,Programming for Entrepreneurs - JavaScript,https://www.udemy.com/javascript-tutorial/,200.0,12873.0,Beginner Level,0.48,2.5,2013-11-11T00:28:17Z
144,Learn to use JSON,https://www.udemy.com/learn-to-use-json/,150.0,12838.0,Intermediate Level,0.85,1.5,2016-03-11T18:30:18Z
145,React JS - Build real world JS apps & deploy on cloud,https://www.udemy.com/reactjs-for-beginners-build-real-world-react-apps-deploy-on-cloud/,175.0,12815.0,All Levels,0.52,8.5,2017-02-12T15:17:31Z
146,PHP: Complete Registration and Login with Email Verification,https://www.udemy.com/php-complete-registration-and-login-with-email-verification/,20.0,12781.0,Intermediate Level,0.96,2.5,2016-01-27T18:16:28Z
147,Responsive Design with NEW Materialize,https://www.udemy.com/responsive-design-with-new-google-materialize/,75.0,12629.0,Beginner Level,0.99,1.5,2015-07-23T20:03:45Z
148,Web Hosting Set Up and WordPress Installation For Beginners,https://www.udemy.com/web-hosting-wordpress-installation-for-beginners/,0.0,12563.0,All Levels,0.18,0.5666666667,2014-04-09T02:58:17Z
149,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,20.0,12458.0,Beginner Level,0.76,4.0,2011-09-09T15:28:59Z
150,Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,https://www.udemy.com/ajaxcourse/,195.0,12368.0,Intermediate Level,0.14,3.5,2015-11-13T22:03:15Z
151,Angular 4 (2+) Crash Course for Beginners,https://www.udemy.com/angular-crash-course-for-beginners/,120.0,12366.0,Beginner Level,0.2,9.0,2017-06-23T00:35:49Z
152,Learn what's new in PHP 7,https://www.udemy.com/php7-new-features/,0.0,12336.0,Beginner Level,0.96,3.5,2016-04-04T22:32:13Z
153,Website Secrets: Get a Gorgeous Website on the Cheap,https://www.udemy.com/how-to-get-an-excellent-website-at-a-lower-cost/,50.0,12328.0,All Levels,0.89,2.0,2014-07-04T08:17:41Z
154,How to Make a Wordpress Website 2017,https://www.udemy.com/wordpress-4-for-beginners/,0.0,12293.0,Beginner Level,0.49,3.0,2015-01-14T22:25:58Z
155,Practical Understanding of PHP and MySQL,https://www.udemy.com/practical-understanding-of-php-and-myqsl-demo/,0.0,12201.0,All Levels,0.81,5.5,2016-07-06T16:35:25Z
156,Build Flat Responsive Website from Scratch - Complete Course,https://www.udemy.com/build-flat-responsive-website-from-scratch-complete-course/,35.0,12105.0,Beginner Level,0.15,7.5,2013-12-04T13:33:41Z
157,PHP Fundamentals - Start Earning The Top Dollars You Deserve,https://www.udemy.com/php-fundamentals/,195.0,12068.0,Intermediate Level,0.74,1.5,2016-04-05T16:50:51Z
158,The Complete Sass & SCSS Course: From Beginner to Advanced,https://www.udemy.com/sasscourse/,195.0,12021.0,All Levels,0.3,4.0,2016-02-24T16:48:27Z
